time,OD600,concentration (ul)
13:39,0.2,10
13:57,0.31,10
15:20,0.42,10
16:26,0.4,10
17:25,0.47,10
18:30,0.57,10
19:45,0.46,10
20:30,0.63,10
21:37,0.64,10
22:30,0.69,10
13:39,0.2,5
13:57,0.3,5
15:20,0.41,5
16:26,0.39,5
17:25,0.48,5
18:30,0.58,5
19:45,0.5,5
20:30,0.68,5
21:37,0.69,5
22:30,0.77,5
13:39,0.2,2.5
13:57,0.31,2.5
15:20,0.42,2.5
16:26,0.43,2.5
17:25,0.54,2.5
18:30,0.63,2.5
19:45,0.56,2.5
20:30,0.75,2.5
21:37,0.81,2.5
22:30,0.89,2.5
13:39,0.2,1.25
13:57,0.29,1.25
15:20,0.41,1.25
16:26,0.46,1.25
17:25,0.57,1.25
18:30,0.68,1.25
19:45,0.72,1.25
20:30,0.86,1.25
21:37,0.94,1.25
22:30,1.07,1.25
13:39,0.2,0
13:57,0.31,0
15:20,0.44,0
16:26,0.51,0
17:25,0.73,0
18:30,0.93,0
19:45,1.2,0
20:30,1.37,0
21:37,1.48,0
22:30,1.71,0
