,Protein IDs,Fasta headers,diff,Intensity Pynd_5FC_Ub,Intensity Control_Ub
754,['YDR382W'],"['>YDR382W RPP2B SGDID:S000002790, Chr IV from 1239492-1239824, Genome Release 64-2-1, Verified ORF, Ribosomal protein P2 beta', 'a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosom']",-7.4627405200872055,20.2305787188231,27.693319238910306
1649,"['YPR043W', 'YJR094W-A']","['>YPR043W RPL43A SGDID:S000006247, Chr XVI from 654166-654167,654571-654847, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L43A', 'null mutation confers a dominant lethal phenotype', 'homologous to mammalian ribosomal protein L37A, no bact']",-6.964219631574448,19.373052048906818,26.337271680481265
753,['YDR381W'],"['>YDR381W YRA1 SGDID:S000002789, Chr IV from 1236558-1236842,1237609-1238004, Genome Release 64-2-1, Verified ORF, Nuclear polyadenylated RNA-binding protein', 'required for export of poly(A)+ mRNA from the nucleus', 'proposed to couple mRNA export with 3 end']",-6.876571861070335,18.120956696355517,24.997528557425852
2370,"['YNL134C', 'YCR102C', 'YLR460C']","['>YNL134C YNL134C SGDID:S000005078, Chr XIV from 373581-372451, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'similar to dehydrogenases from other model organisms', 'green fluorescent protein (GFP)-fusion protein local']",-6.817815629675316,17.194410602994086,24.012226232669402
624,['YDR111C'],"['>YDR111C ALT2 SGDID:S000002518, Chr IV from 679764-678241, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, Catalytically inactive alanine transaminase', 'expression is repressed in the presence of alanine and repression is mediated by Nrg1p', '']",-6.705323631693375,17.303316991004568,24.008640622697943
1257,['YGR253C'],"['>YGR253C PUP2 SGDID:S000003485, Chr VII from 999140-998358, Genome Release 64-2-1, reverse complement, Verified ORF, Alpha 5 subunit of the 20S proteasome', 'involved in ubiquitin-dependent catabolism', 'human homolog is subunit zeta']",-6.569575303717187,16.958212844596453,23.52778814831364
2356,['YNL112W'],"['>YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-2-1, Verified ORF, ATP-dependent RNA helicase of the DEAD-box protein family', 'has a strong preference for dsRNA', 'interacts with YRA1', 'required for the assembly of']",-6.55486467023664,17.771012240652155,24.325876910888795
1078,['YGL105W'],"['>YGL105W ARC1 SGDID:S000003073, Chr VII from 307437-308567, Genome Release 64-2-1, Verified ORF, Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases', 'involved in tRNA delivery, stimulating catalysis, and ensuring localization', 'also binds']",-6.553646604806275,18.729726945109338,25.283373549915613
1002,['YFR009W'],"['>YFR009W GCN20 SGDID:S000001905, Chr VI from 162488-164746, Genome Release 64-2-1, Verified ORF, Positive regulator of the Gcn2p kinase activity', 'forms a complex with Gcn1p', 'proposed to stimulate Gcn2p activation by an uncharged tRNA']",-6.444389772340887,16.69533705511606,23.139726827456947
734,['YDR351W'],"['>YDR351W SBE2 SGDID:S000002759, Chr IV from 1178666-1181260, Genome Release 64-2-1, Verified ORF, Protein required for bud growth', 'involved in transport of cell wall components from the Golgi to the cell surface', 'SBE2 has a paralog, SBE22, that arose from']",-6.417769224618944,17.642587638535943,24.060356863154887
2182,"['YMR079W', 'YKL091C']","['>YMR079W SEC14 SGDID:S000004684, Chr XIII from 424989-424997,425154-426059, Genome Release 64-2-1, Verified ORF, Phosphatidylinositol/phosphatidylcholine transfer protein', 'involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which r']",-6.366961848501866,18.41079913053051,24.777760979032376
2742,['YOR332W'],"['>YOR332W VMA4 SGDID:S000005859, Chr XV from 943656-944357, Genome Release 64-2-1, Verified ORF, Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase)', 'V-ATPase is an electrogenic proton pump found throughout the endomembrane system', 'V1 domain ha']",-6.299038357073634,19.215537739458227,25.51457609653186
