,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_WCLP,Intensity Control_WCLP
1618,"['YJR045C', 'YEL030W']","['>YJR045C SSC1 SGDID:S000003806, Chr X from 521602-519638, Genome Release 64-2-1, reverse complement, Verified ORF, Hsp70 family ATPase', 'constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex)', 'invol']",-7.264746374534788,22.634912946834646,29.899659321369434
1659,['YJR123W'],"['>YJR123W RPS5 SGDID:S000003884, Chr X from 651901-652578, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'least basic of non-acidic ribosomal proteins', 'phosphorylated in vivo', 'essential for viability', 'homologou']",-6.880826422289893,17.53700600971019,24.417832432000083
642,['YDR145W'],"['>YDR145W TAF12 SGDID:S000002552, Chr IV from 746738-748357, Genome Release 64-2-1, Verified ORF, Subunit (61/68 kDa) of TFIID and SAGA complexes', 'involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A']",-6.879507606834192,19.597488837313687,26.47699644414788
2798,['YPL081W'],"['>YPL081W RPS9A SGDID:S000006002, Chr XVI from 404950-404956,405458-406044, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S9 and bacterial S4', 'RPS9A has a paralog, RPS']",-6.147858837005067,19.36990400905821,25.517762846063277
224,"['YER117W', 'YBL087C']","['>YER117W RPL23B SGDID:S000000919, Chr V from 396769-396810,397282-397653, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L23B', 'homologous to mammalian ribosomal protein L23 and bacterial L14', 'RPL23B has a paralog, RPL23A, that arose fr']",-6.137771224609121,17.593609961630364,23.731381186239485
484,['YDL084W'],"['>YDL084W SUB2 SGDID:S000002242, Chr IV from 305237-306577, Genome Release 64-2-1, Verified ORF, Component of the TREX complex required for nuclear mRNA export', 'member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spli']",-5.761349752793166,20.15177468240436,25.913124435197524
813,['YDR510W'],"['>YDR510W SMT3 SGDID:S000002918, Chr IV from 1469400-1469705, Genome Release 64-2-1, Verified ORF, Ubiquitin-like protein of the SUMO family', 'conjugated to lysine residues of target proteins', 'associates with transcriptionally active genes', 'regulates chroma']",-5.759168712644151,20.672452966841835,26.431621679485986
300,['YBR127C'],"['>YBR127C VMA2 SGDID:S000000331, Chr II from 492822-491269, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase', 'an electrogenic proton pump found throughout the endomembrane system', 'con']",-5.707785391974511,18.99909715260348,24.70688254457799
1065,['YGL076C'],"['>YGL076C RPL7A SGDID:S000003044, Chr VII from 364964-364335,365526-365433,365996-365986, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L7A', 'required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly']",-5.495405698383493,18.68780622953571,24.183211927919203
2959,['YPR163C'],"['>YPR163C TIF3 SGDID:S000006367, Chr XVI from 869955-868645, Genome Release 64-2-1, reverse complement, Verified ORF, Translation initiation factor eIF-4B', 'contains an RNA recognition motif and binds to single-stranded RNA', 'has RNA annealing activity', 'inte']",-5.440762951042181,21.220222432929344,26.660985383971525
1143,"['YLR333C', 'YGR027C']","['>YLR333C RPS25B SGDID:S000004325, Chr XII from 795899-795573, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S25, no bacterial homolog', 'RPS25B has']",-5.305332027841796,17.29947635188399,22.604808379725785
1737,['YKL128C'],"['>YKL128C PMU1 SGDID:S000001611, Chr XI from 201771-200884, Genome Release 64-2-1, reverse complement, Verified ORF, Putative phosphomutase', 'contains a region homologous to the active site of phosphomutases', 'overexpression suppresses the histidine auxotrop']",-5.29749840762214,18.248780005817242,23.54627841343938
965,['YER177W'],"['>YER177W BMH1 SGDID:S000000979, Chr V from 545611-546414, Genome Release 64-2-1, Verified ORF, 14-3-3 protein, major isoform', 'controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport,']",-5.026778235920908,21.699985824220274,26.726764060141182
325,['YBR189W'],"['>YBR189W RPS9B SGDID:S000000393, Chr II from 604508-604514,604928-605508, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S9 and bacterial S4', 'RPS9B has a paralog, RPS9']",-4.899441614430259,22.469088292727516,27.368529907157775
2910,['YPR041W'],"['>YPR041W TIF5 SGDID:S000006245, Chr XVI from 648704-649921, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF5', 'functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibi']",-4.862895092431241,19.323116349491517,24.18601144192276
1842,['YLL010C'],"['>YLL010C PSR1 SGDID:S000003933, Chr XII from 130613-129330, Genome Release 64-2-1, reverse complement, Verified ORF, Plasma membrane associated protein phosphatase', 'involved in the general stress response', 'required along with binding partner Whi2p for ful']",-4.859119964312658,19.95631375952131,24.81543372383397
