,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_WCL,Intensity Control_WCL
964,['YER176W'],"['>YER176W ECM32 SGDID:S000000978, Chr V from 541690-545055, Genome Release 64-2-1, Verified ORF, DNA dependent ATPase/DNA helicase', 'helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination', '']",-9.10806928702344,17.14976696277492,26.25783624979836
1745,['YKL148C'],"['>YKL148C SDH1 SGDID:S000001631, Chr XI from 171129-169207, Genome Release 64-2-1, reverse complement, Verified ORF, Flavoprotein subunit of succinate dehydrogenase', 'couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of t']",-4.056004669937057,19.713608025515864,23.76961269545292
346,['YBR234C'],"['>YBR234C ARC40 SGDID:S000000438, Chr II from 686592-685438, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the ARP2/3 complex', 'ARP2/3 is required for the motility and integrity of cortical actin patches']",-3.7548975029385048,19.79279347103235,23.547690973970855
469,['YDL060W'],"['>YDL060W TSR1 SGDID:S000002218, Chr IV from 341619-343985, Genome Release 64-2-1, Verified ORF, Protein required for processing of 20S pre-rRNA in the cytoplasm', 'associates with pre-40S ribosomal particles', 'inhibits the premature association of 60S subuni']",-3.6466096972205797,20.211812265190193,23.858421962410773
447,['YDL004W'],"['>YDL004W ATP16 SGDID:S000002162, Chr IV from 443029-443511, Genome Release 64-2-1, Verified ORF, Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase', 'F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP']",-3.634324273812627,21.760768668782728,25.395092942595355
1023,['YFR047C'],"['>YFR047C BNA6 SGDID:S000001943, Chr VI from 245166-244279, Genome Release 64-2-1, reverse complement, Verified ORF, Quinolinate phosphoribosyl transferase', 'required for the de novo biosynthesis of NAD from tryptophan via kynurenine', 'expression regulated b']",-3.5186588094008684,19.3074365301807,22.826095339581567
1041,['YGL023C'],"['>YGL023C PIB2 SGDID:S000002991, Chr VII from 452104-450197, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'contains FYVE domain', 'similar to Fab1 and Vps27']",-3.3588562447879795,19.5927344070346,22.95159065182258
1403,['YHR196W'],"['>YHR196W UTP9 SGDID:S000001239, Chr VIII from 491931-493658, Genome Release 64-2-1, Verified ORF, Nucleolar protein', 'component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA']",-3.075065645869792,21.395661734562413,24.470727380432205
1074,['YGL099W'],"['>YGL099W LSG1 SGDID:S000003067, Chr VII from 314631-316553, Genome Release 64-2-1, Verified ORF, Putative GTPase involved in 60S ribosomal subunit biogenesis', 'required for the release of Nmd3p from 60S subunits in the cytoplasm']",-3.0571442038692886,21.170294296470303,24.22743850033959
1222,['YGR187C'],"['>YGR187C HGH1 SGDID:S000003419, Chr VII from 871416-870232, Genome Release 64-2-1, reverse complement, Verified ORF, Nonessential protein of unknown function', 'predicted to be involved in ribosome biogenesis', 'green fluorescent protein (GFP)-fusion protein']",-3.0167093611364173,20.812293271108114,23.82900263224453
2461,['YNL311C'],"['>YNL311C SKP2 SGDID:S000005255, Chr XIV from 51688-49397, Genome Release 64-2-1, reverse complement, Verified ORF, F-box protein of unknown function', 'predicted to be part of an SCF ubiquitin protease complex', 'involved in regulating protein levels of sulfu']",-2.909156913883507,21.16637642235134,24.075533336234848
819,['YDR519W'],"['>YDR519W FPR2 SGDID:S000002927, Chr IV from 1480425-1480832, Genome Release 64-2-1, Verified ORF, Membrane-bound peptidyl-prolyl cis-trans isomerase (PPIase)', 'binds to the drugs FK506 and rapamycin', 'expression pattern suggests possible involvement in ER p']",-2.805957591678915,21.283705596168442,24.089663187847357
2578,['YOR014W'],"['>YOR014W RTS1 SGDID:S000005540, Chr XV from 357674-359947, Genome Release 64-2-1, Verified ORF, B-type regulatory subunit of protein phosphatase 2A (PP2A)', 'Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p']",-2.781993207104641,19.34624534975106,22.128238556855703
919,['YER092W'],"['>YER092W IES5 SGDID:S000000894, Chr V from 342855-343232, Genome Release 64-2-1, Verified ORF, Non-essential INO80 chromatin remodeling complex subunit', 'deletion affects telomere maintenance via recombination']",-2.7705164745586472,19.17640692905899,21.94692340361764
2782,['YPL049C'],"['>YPL049C DIG1 SGDID:S000005970, Chr XVI from 463839-462481, Genome Release 64-2-1, reverse complement, Verified ORF, MAP kinase-responsive inhibitor of the Ste12p transcription factor', 'involved in the regulation of mating-specific genes and the invasive g']",-2.7463806224229153,22.51528019221784,25.261660814640756
1367,['YHR114W'],"['>YHR114W BZZ1 SGDID:S000001156, Chr VIII from 338083-339984, Genome Release 64-2-1, Verified ORF, SH3 domain protein implicated in regulating actin polymerization', 'able to recruit actin polymerization machinery through its SH3 domains', 'colocalizes with co']",-2.7348794267521086,19.995071511630332,22.72995093838244
882,['YER034W'],"['>YER034W YER034W SGDID:S000000836, Chr V from 221846-222403, Genome Release 64-2-1, Verified ORF, Protein of unknown function', 'non-essential gene', 'expression induced upon calcium shortage', 'protein abundance increases in response to DNA replication stress']",-2.697892846023997,19.287238917557552,21.98513176358155
2170,"['YMR045C', 'YMR046C']","['>YMR045C YMR045C SGDID:S000004648, Chr XIII from 361321-357359,362627-361323, Genome Release 64-2-1, reverse complement, transposable_element_gene, Retrotransposon TYA Gag and TYB Pol genes', 'transcribed/translated as one unit', 'polyprotein is processed to']",-2.685311647674446,21.24318793273102,23.928499580405465
657,['YDR167W'],"['>YDR167W TAF10 SGDID:S000002574, Chr IV from 789449-790069, Genome Release 64-2-1, Verified ORF, Subunit (145 kDa) of TFIID and SAGA complexes', 'involved in RNA polymerase II transcription initiation and in chromatin modification']",-2.6488830609090215,20.502225789629467,23.15110885053849
