,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_UbP,Intensity Control_UbP
1200,['YGR155W'],"['>YGR155W CYS4 SGDID:S000003387, Chr VII from 798543-800066, Genome Release 64-2-1, Verified ORF, Cystathionine beta-synthase', 'catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis', 'responsible']",8.379349905963466,25.017418084972945,16.63806817900948
2787,['YPL061W'],"['>YPL061W ALD6 SGDID:S000005982, Chr XVI from 432588-434090, Genome Release 64-2-1, Verified ORF, Cytosolic aldehyde dehydrogenase', 'activated by Mg2+ and utilizes NADP+ as the preferred coenzyme', 'required for conversion of acetaldehyde to acetate', 'constitu']",7.520470931635423,26.988152097690545,19.467681166055122
1093,['YGL147C'],"['>YGL147C RPL9A SGDID:S000003115, Chr VII from 228329-227754, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L9A', 'homologous to mammalian ribosomal protein L9 and bacterial L6', 'RPL9A has a paralog, RPL9B, that arose']",7.039694802464101,27.094664707760188,20.054969905296087
1618,"['YJR045C', 'YEL030W']","['>YJR045C SSC1 SGDID:S000003806, Chr X from 521602-519638, Genome Release 64-2-1, reverse complement, Verified ORF, Hsp70 family ATPase', 'constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex)', 'invol']",6.8671490239927415,29.23783536668939,22.370686342696647
2959,['YPR163C'],"['>YPR163C TIF3 SGDID:S000006367, Chr XVI from 869955-868645, Genome Release 64-2-1, reverse complement, Verified ORF, Translation initiation factor eIF-4B', 'contains an RNA recognition motif and binds to single-stranded RNA', 'has RNA annealing activity', 'inte']",6.483385452792476,24.57773122648207,18.094345773689593
2071,['YLR448W'],"['>YLR448W RPL6B SGDID:S000004440, Chr XII from 1028854-1028868,1029253-1029768, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L6B', 'binds 5.8S rRNA', 'homologous to mammalian ribosomal protein L6, no bacterial homolog', 'RPL6B has a paralog']",6.47927408003881,23.17787023678384,16.69859615674503
516,"['YDL191W', 'YDL136W']","['>YDL191W RPL35A SGDID:S000002350, Chr IV from 117664-117666,118158-118517, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L35A', 'homologous to mammalian ribosomal protein L35 and bacterial L29', 'RPL35A has a paralog, RPL35B, that arose f']",6.401564556694009,24.961374797028387,18.55981024033438
662,['YDR172W'],"['>YDR172W SUP35 SGDID:S000002579, Chr IV from 808324-810381, Genome Release 64-2-1, Verified ORF, Translation termination factor eRF3', 'has a role in mRNA deadenylation and decay', 'altered protein conformation creates the [PSI(+)] prion that modifies cellula']",6.285277361411502,27.022633647254708,20.737356285843205
2550,['YOL109W'],"['>YOL109W ZEO1 SGDID:S000005469, Chr XV from 110297-110638, Genome Release 64-2-1, Verified ORF, Peripheral membrane protein of the plasma membrane', 'interacts with Mid2p', 'regulates the cell integrity pathway mediated by Pkc1p and Slt2p', 'the authentic prote']",6.115703213472958,23.86107554400004,17.745372330527083
1851,['YLL024C'],"['>YLL024C SSA2 SGDID:S000003947, Chr XII from 97485-95566, Genome Release 64-2-1, reverse complement, Verified ORF, ATP-binding protein', 'involved in protein folding and vacuolar import of proteins', 'member of heat shock protein 70 (HSP70) family', 'associated']",6.092541367851659,29.214124207861275,23.121582840009616
